Titre,Auteur,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
Diner à Douarnenez,Claude McKay,Américaine,9791097210137,9,21,2024,2024-09-21T00:00:00Z,9,22,2024,2024-09-22T00:00:00Z,1,M,Broché,100,Héliotropismes
Frapper l'épopée,Alice Zeniter,Française,9782080440587,9,22,2024,2024-09-22T00:00:00Z,10,2,2024,2024-02-10T00:00:00Z,10,F,Ebook,352,Flammarion
Survivre,Jérémie Foa,Française,9782021181272,9,26,2024,2024-09-26T00:00:00Z,10,13,2024,2024-10-13T00:00:00Z,17,M,Broché,352,Seuil
La langue des choses cachées,Cécile Coulon,Française,9782378804046,10,1,2024,2024-01-10T00:00:00Z,10,6,2024,2024-06-10T00:00:00Z,5,F,Ebook,134,L’Iconoclaste
La désinvolture est une bien belle chose,Philippe Jaenada,Française,9782080427298,10,6,2024,2024-06-10T00:00:00Z,10,25,2024,2024-10-25T00:00:00Z,19,M,Ebook,496,Mialet-Barrault
Pour Britney,Louise Chennevière,Française,9782818061381,10,13,2024,2024-10-13T00:00:00Z,10,14,2024,2024-10-14T00:00:00Z,1,F,Ebook,144,P.O.L
The Left Hand of Darkness,Ursula K. Le Guin,Américaine,9782221255698,10,25,2024,2024-10-25T00:00:00Z,11,18,2024,2024-11-18T00:00:00Z,24,F,Ebook,312,Robert Laffont
Au coeur de l’archive coloniale,Ann Laura Stoler,Américaine,9782713227738,10,26,2024,2024-10-26T00:00:00Z,11,15,2024,2024-11-15T00:00:00Z,20,F,Broché,392,EHESS
La prophète rouge,Julie Pagis,Française,9782348078897,11,2,2024,2024-02-11T00:00:00Z,11,12,2024,2024-12-11T00:00:00Z,10,F,Broché,352,La Découverte
De l’écran à l’émotion quand le numérique devient patrimoine,Emmanuelle Bermès,Française,9782357231870,11,13,2024,2024-11-13T00:00:00Z,11,20,2024,2024-11-20T00:00:00Z,7,F,Broché,239,Ecole nationale des chartes
Nord sentinelle,Jérôme Ferrari,Française,9782330194413,11,19,2024,2024-11-19T00:00:00Z,11,0,2024,2025-11-01T00:00:00Z,0,M,Ebook,0,Actes Sud
Intermezzo,Sally Rooney,Irlandaise,9782073074621,11,21,2024,2024-11-21T00:00:00Z,12,1,2024,2024-01-12T00:00:00Z,10,F,Ebook,464,Gallimard
Conservation entre amis,Sally Rooney,Irlandaise,9782823610710,12,1,2024,2024-01-12T00:00:00Z,12,7,2024,2024-07-12T00:00:00Z,6,F,Ebook,400,L’Olivier
Normal People,Sally Rooney,Irlandaise,9782823615241,12,7,2024,2024-07-12T00:00:00Z,12,9,2024,2024-09-12T00:00:00Z,2,F,Ebook,320,L’Olivier
"Où es-tu, monde admirable ",Sally Rooney,Irlandaise,9782823618501,12,9,2024,2024-09-12T00:00:00Z,12,15,2024,2024-12-15T00:00:00Z,6,F,Ebook,384,L’Olivier
Ann d’Angleterre,Julia Deck,Française,9782021576535,12,15,2024,2024-12-15T00:00:00Z,12,17,2024,2024-12-17T00:00:00Z,2,F,Ebook,256,Seuil
Amis ou ennemis,Régine Le Jan,Française,9782021539578,12,17,2024,2024-12-17T00:00:00Z,1,4,2025,2025-04-01T00:00:00Z,18,F,Ebook,528,Seuil
Offenses,Constance Debré,Française,9782080286147,1,3,2025,2025-03-01T00:00:00Z,1,4,2025,2025-04-01T00:00:00Z,1,F,Ebook,128,Flammarion
Mr. Salary,Sally Rooney,Irlandaise,9780571351954,1,4,2025,2025-04-01T00:00:00Z,1,4,2025,2025-04-01T00:00:00Z,0,F,Ebook,48,Faber and Faber
La Coupe d'or,Henry James,Américaine,9782021081312,1,4,2025,2025-04-01T00:00:00Z,2,2,2025,2025-02-02T00:00:00Z,29,M,Ebook,704,Seuil
S'engager en historienne,Michelle Perrot,Française,9782271149404,1,12,2025,2025-12-01T00:00:00Z,1,13,2025,2025-01-13T00:00:00Z,1,F,Ebook,80,CNRS éditions
Barbès Blues,Hajer Ben Boubaker,Française,9782021517859,1,17,2025,2025-01-17T00:00:00Z,1,22,2025,2025-01-22T00:00:00Z,5,F,Ebook,304,Seuil
Nom,Constance Debré,Française,9782081515932,1,24,2025,2025-01-24T00:00:00Z,1,26,2025,2025-01-26T00:00:00Z,2,F,Ebook,176,Flammarion
Ecumeurs des quais,Michel Péraldi et Fabien Bartolotti,Française,9782356982629,1,29,2025,2025-01-29T00:00:00Z,2,7,2025,2025-07-02T00:00:00Z,9,M,Broché,272,Gaussen
Le Corps lesbien,Monique Wittig,Française,9782707348296,2,3,2025,2025-03-02T00:00:00Z,2,9,2025,2025-09-02T00:00:00Z,6,F,Ebook,192,Minuit
Éloge du bug. Être libre à l'époque numérique,Marcello Vitali-Rosati,Italienne,9782355222238,2,8,2025,2025-08-02T00:00:00Z,2,13,2025,2025-02-13T00:00:00Z,5,M,Broché,208,Zones
Panorama,Lilia Hassaine,Française,9782073035059,2,9,2025,2025-09-02T00:00:00Z,2,15,2025,2025-02-15T00:00:00Z,6,F,Ebook,240,Gallimard
Blizzard,Marie Vingtras,Française,9782823617054,2,16,2025,2025-02-16T00:00:00Z,2,17,2025,2025-02-17T00:00:00Z,1,F,Ebook,192,L’Olivier
Les âmes féroces,Marie Vingtras,Française,9782823621020,2,17,2025,2025-02-17T00:00:00Z,2,21,2025,2025-02-21T00:00:00Z,4,F,Ebook,272,L’Olivier
Au revoir là-haut,Pierre Lemaitre,Française,9782226249678,2,21,2025,2025-02-21T00:00:00Z,3,3,2025,2025-03-03T00:00:00Z,10,M,Broché,576,Albin Michel
Mortepeau,Natalia García Freire,Équatorienne,9782267044621,2,24,2025,2025-02-24T00:00:00Z,3,1,2025,2025-01-03T00:00:00Z,5,F,Ebook,160,Bourgois
Le Temps d'après,Jean Hegland,Américaine,9782351783054,3,1,2025,2025-01-03T00:00:00Z,3,25,2025,2025-03-25T00:00:00Z,24,F,Ebook,352,Gallmeister
Au bord de l’effacement,Anouche Kunth,Française,9782348057908,3,9,2025,2025-09-03T00:00:00Z,3,15,2025,2025-03-15T00:00:00Z,6,F,Broché,288,La Découverte
En exil,Elisa Lispector,Brésilienne,9782721003263,3,16,2025,2025-03-16T00:00:00Z,3,24,2025,2025-03-24T00:00:00Z,8,F,Broché,250,Des femmes – Antoinette Fouque
Le ciel en sa fureur,Adeline Fleury,Française,9791032929049,3,24,2025,2025-03-24T00:00:00Z,4,2,2025,2025-02-04T00:00:00Z,9,F,Ebook,208,L’observatoire
Blackness,bell hooks,Américaine,9782228936118,3,22,2025,2025-03-22T00:00:00Z,3,31,2025,2025-03-31T00:00:00Z,9,F,Broché,128,Payot
Sorcières et sorciers,Michelle Zancarini-Fournel,Française,9782377293476,4,1,2025,2025-01-04T00:00:00Z,4,6,2025,2025-06-04T00:00:00Z,5,F,Broché,186,Libertalia
Les ravissements,Jan Carson,Britannique,9782848054681,4,3,2025,2025-03-04T00:00:00Z,4,16,2025,2025-04-16T00:00:00Z,13,F,Ebook,440,Sabine Wespieser
Cogitamus,Bruno Latour,Française,9782707182005,4,7,2025,2025-07-04T00:00:00Z,4,10,2025,2025-10-04T00:00:00Z,3,M,Ebook,256,La Découverte
Les femmes ou le silence de l’histoire,Michelle Perrot,Française,9782080489920,4,12,2025,2025-12-04T00:00:00Z,4,27,2025,2025-04-27T00:00:00Z,15,F,Ebook,704,Flammarion
Marseille année 40,Mary Jayne Gold,Américaine,9782752902016,4,27,2025,2025-04-27T00:00:00Z,6,25,2025,2025-06-25T00:00:00Z,59,F,Broché,480,Phébus
"Flora Tristan, Promenades dans Londres, ou, L'Aristocratie et les Prolétaires Anglais (ed. François Bédarida). Paris: François Maspero, 1978. 358 pp. No price stated",Flora Tristan,Française,9782070347735,4,27,2025,2025-04-27T00:00:00Z,5,1,2025,2025-01-05T00:00:00Z,4,F,Ebook,144,Gallimard
Résister,Salomé Saqué,Française,9782228937597,5,1,2025,2025-01-05T00:00:00Z,5,4,2025,2025-04-05T00:00:00Z,3,F,Ebook,144,Payot
La Petite Fadette,George Sand,Française,9782080444936,5,4,2025,2025-04-05T00:00:00Z,5,8,2025,2025-08-05T00:00:00Z,4,F,Ebook,272,Flammarion
Laëtitia,Ivan Jablonka,Française,9782021291209,5,11,2025,2025-11-05T00:00:00Z,5,18,2025,2025-05-18T00:00:00Z,7,M,Ebook,400,Seuil
vies rebelles,Saidiya V. Hartman,Américaine,9782021496949,5,19,2025,2025-05-19T00:00:00Z,6,2,2025,2025-02-06T00:00:00Z,14,F,Ebook,464,Seuil
Mother milk,Deborah Levy,Britannique,9782364686830,6,2,2025,2025-02-06T00:00:00Z,6,7,2025,2025-07-06T00:00:00Z,5,F,Ebook,332,Du Sous-sol
Un couple panafricain,Elara Bertho,Française,9782959005527,6,7,2025,2025-07-06T00:00:00Z,6,8,2025,2025-08-06T00:00:00Z,1,F,Broché,160,Rot-Bo-Krik
Il n’a jamais été trop tard,Lola Lafon,Française,9782234097872,6,9,2025,2025-09-06T00:00:00Z,6,10,2025,2025-10-06T00:00:00Z,1,F,Broché,240,Stock
La vengeance m’appartient,Marie NDiaye,Française,9782072841941,6,9,2025,2025-09-06T00:00:00Z,6,12,2025,2025-12-06T00:00:00Z,3,F,Ebook,240,Gallimard
Mon vrai nom est Élisabeth,Adèle Yon,Française,9782364689572,6,12,2025,2025-12-06T00:00:00Z,6,22,2025,2025-06-22T00:00:00Z,10,F,Ebook,400,Sous-Sol
L'hibiscus pourpre,Chimamanda Ngozi Adichie,Nigériane,9782070468812,6,22,2025,2025-06-22T00:00:00Z,6,29,2025,2025-06-29T00:00:00Z,7,F,Ebook,416,Gallimard
"Moi, Tituba, sorcière... noire de Salem",Maryse Condé,Française,9782715214408,6,29,2025,2025-06-29T00:00:00Z,7,6,2025,2025-06-07T00:00:00Z,7,F,Ebook,276,Mercure de France
Un psaume pour les recyclés sauvages,Becky Chambers,Américaine,9791036001192,7,4,2025,2025-04-07T00:00:00Z,7,7,2025,2025-07-07T00:00:00Z,3,F,Broché,136,Atalante
Une prière pour les cimes timides,Becky Chambers,Américaine,9791036001291,7,27,2025,2025-07-27T00:00:00Z,7,28,2025,2025-07-28T00:00:00Z,1,F,Broché,120,Atalante
Le Temps de l'innocence,Edith Wharton,Américaine,9782080451583,7,6,2025,2025-06-07T00:00:00Z,7,13,2025,2025-07-13T00:00:00Z,7,F,Ebook,368,Flammarion
Un manifeste hacker,McKenzie Wark,Australienne,n/a,7,13,2025,2025-07-13T00:00:00Z,7,14,2025,2025-07-14T00:00:00Z,1,F,Ebook,0,n/a
