Titre,QID_ouvrage,Auteur,image,QID_Auteur,pays de nationalité,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
Le Silence,,Don DeLillo,Don delillo nyc 02.jpg,Q310048,États-Unis,Américaine,9782330149307,4,10,2021,2021-04-10T00:00:00Z,4,11,2021,2021-04-11T00:00:00Z,1,M,Ebook,112,Actes Sud
Americana,Q3614114,Don DeLillo,Don delillo nyc 02.jpg,Q310048,États-Unis,Américaine,9782742726530,3,1,2020,2020-03-01T00:00:00Z,3,17,2020,2020-03-17T00:00:00Z,16,M,Broché,464,Actes Sud
La rumeur d’Orléans,,Edgar Morin,Edgar Morin2.jpg,Q317880,France,Française,9782021199406,3,5,2022,2022-03-05T00:00:00Z,3,12,2022,2022-03-12T00:00:00Z,7,M,Ebook,256,Le Seuil
Show Boat,Q1249322,Edna Ferber,Edna-Ferber-1928.jpg,Q283496,États-Unis,Américaine,9782366247596,7,7,2023,2023-07-07T00:00:00Z,7,14,2023,2023-07-14T00:00:00Z,7,F,Broché,470,Cambourakis
Mémoires vives,Q66061138,Edward Snowden,Edward Snowden-2.jpg,Q13424289,États-Unis,Américaine,9782021441048,3,17,2020,2020-03-17T00:00:00Z,3,26,2020,2020-03-26T00:00:00Z,9,M,Ebook,384,Seuil
D'Afrique en Palestine,,Edward Wilmot Blyden,Blyden E W 3c35638r.jpg,Q384338,Liberia,Libérienne,9782271126511,8,31,2021,2021-08-31T00:00:00Z,9,1,2021,2021-09-01T00:00:00Z,1,M,Ebook,206,CNRS édition
Celle qui fuit et celle qui reste,Q55517451,Elena Ferrante,,Q368127,Italie,Italienne,9782070178407,10,25,2021,2021-10-25T00:00:00Z,11,3,2021,2021-11-03T00:00:00Z,9,F,Broché,480,Gallimard
Se défendre,,Elsa Dorlin,Elsa Dorlin 2020.jpg,Q3051714,France,Française,9782355221101,6,7,2022,2022-06-07T00:00:00Z,6,20,2022,2022-06-20T00:00:00Z,13,F,Ebook,200,Zones
Crimes sexuels et société à la fin de l’Ancien Régime,,Enora Peronneau Saint-Jalmes,,,,Française,9782262095956,7,7,2022,2022-07-07T00:00:00Z,7,18,2022,2022-07-18T00:00:00Z,11,F,Ebook,500,Perrin
Comédies françaises,Q104182980,Éric Reinhardt,Éric Reinhardt salon radio france 2011.jpg,Q3591329,France,Française,9782072796982,9,26,2020,2020-09-26T00:00:00Z,10,18,2020,2020-10-18T00:00:00Z,22,M,Broché,480,Gallimard
Une sortie honorable,,Éric Vuillard,VUILLARD-J16-bertini-1002405.jpg,Q3591401,France,Française,9782330159665,7,5,2022,2022-07-05T00:00:00Z,7,5,2022,2022-07-05T00:00:00Z,0,M,Ebook,208,Actes Sud
Conquistadors,,Éric Vuillard,VUILLARD-J16-bertini-1002405.jpg,Q3591401,France,Française,9782330053222,8,7,2022,2022-08-07T00:00:00Z,8,14,2022,2022-08-14T00:00:00Z,7,M,Broché,400,Actes Sud
Parcourir la terre disparue,,Erin Swan,,,,Américaine,9782351782798,8,4,2023,2023-08-04T00:00:00Z,8,8,2023,2023-08-08T00:00:00Z,4,F,Ebook,496,Gallmeister
Le goût du vrai,,Étienne Klein,Étienne Klein - Utopiales 2015 - E96A0689.JPG,Q3592228,France,Française,9782072916717,2,19,2022,2022-02-19T00:00:00Z,2,19,2022,2022-02-19T00:00:00Z,0,M,Broché,64,Gallimard
